audit,group_field,group_value,split,count,expected,pass,notes
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|medium,train,9,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep,train,9,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep_plus,train,9,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|shallow,train,4,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|medium,train,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep,train,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep_plus,train,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|shallow,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|medium,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|deep,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|deep_plus,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|shallow,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|medium,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep_plus,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|shallow,val,5,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|medium,val,9,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep,val,2,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep_plus,val,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|shallow,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|medium,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|deep,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_sphere|deep_plus,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|shallow,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|medium,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_ellipsoid|deep_plus,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|shallow,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|medium,test,0,>0 preferred,False,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep,test,7,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
shape_by_burial_split,shape_type_x_burial_depth_level,internal_cuboid|deep_plus,test,9,>0 preferred,True,shape 和 burial 的交叉覆盖决定 21.4 是否能判断内部缺陷泛化。
metric_credibility,21_2_metric,center_xyz,test,0,可信但需要更大 val/test 复核,True,center_xyz MAE 明显优于 mean baseline。
metric_credibility,21_2_metric,cuboid_only_shape_signal,test,0,局部可信,True,val/test 只有 internal_cuboid，shape accuracy 不能代表三类 shape 泛化。
metric_credibility,21_2_metric,three_shape_generalization,test,0,不可信,False,val/test 缺 internal_sphere 和 internal_ellipsoid。
metric_credibility,21_2_metric,burial_depth_generalization,test,0,不可信,False,val/test burial coverage 不完整，test 只含 deep/deep_plus。
metric_credibility,21_2_metric,baseline_or_candidate_upgrade,test,0,不可信,False,21.2 是 training gate，不是 baseline gate。
